name,external_id
Brunch restaurant,brunch_restaurant
Bubble tea store,bubble_tea_store
Buddhist supplies store,buddhist_supplies_store
Buddhist temple,buddhist_temple
Buffet restaurant,buffet_restaurant
Bugatti dealer,bugatti_dealer
Buick dealer,buick_dealer
Building consultant,building_consultant
Building design company,building_design_company
Building designer,building_designer
Building equipment hire service,building_equipment_hire_service
Building firm,building_firm
Building inspector,building_inspector
Building materials market,building_materials_market
Building materials store,building_materials_store
Building materials supplier,building_materials_supplier
Building restoration service,building_restoration_service
Building society,building_society
Bulgarian restaurant,bulgarian_restaurant
Bullring,bullring
Bungee jumping center,bungee_jumping_center
Burglar alarm store,burglar_alarm_store
Burmese restaurant,burmese_restaurant
Burrito restaurant,burrito_restaurant
Bus and coach company,bus_and_coach_company
Bus charter,bus_charter
Bus company,bus_company
Bus depot,bus_depot
Bus ticket agency,bus_ticket_agency
Bus tour agency,bus_tour_agency
Business administration service,business_administration_service
Business banking service,business_banking_service
Business broker,business_broker
Business center,business_center
Business development service,business_development_service
Business management consultant,business_management_consultant
Business networking company,business_networking_company
Business park,business_park
Business school,business_school
Business to business service,business_to_business_service
Butane gas supplier,butane_gas_supplier
Butcher shop,butcher_shop
Butcher shop deli,butcher_shop_deli
Butsudan store,butsudan_store
CBSE school,cbse_school
CD store,cd_store
CNG fitment center,cng_fittment_center
Cabaret club,cabaret_club
Cabin rental agency,cabin_rental_agency
Cabinet maker,cabinet_maker
Cabinet store,cabinet_store
Cable company,cable_company
Cadillac dealer,cadillac_dealer
Cafe,cafe
Cafeteria,cafeteria
Cajun restaurant,cajun_restaurant
Cake decorating equipment shop,cake_decorating_equipment_shop
Cake shop,cake_shop
Californian restaurant,californian_restaurant
Call center,call_center
Call shop,call_shop
Calligraphy lesson,calligraphy_lesson
Calvary Chapel church,calvary_chapel_church
Cambodian restaurant,cambodian_restaurant
Camera repair shop,camera_repair_shop
Camera store,camera_store
Camper shell supplier,camper_shell_supplier
Campground,campground
Camping cabin,camping_cabin
Camping farm,camping_farm
Camping store,camping_store
Canadian restaurant,canadian_restaurant
Cancer treatment center,cancer_treatment_center
Candle store,candle_store
Candy store,candy_store
Cane furniture store,cane_furniture_store
Cannabis club,cannabis_club
Cannabis store,cannabis_store
Cannery,cannery
Canoe & kayak rental service,canoe_and_kayak_rental_service
Canoe & kayak store,canoe_and_kayak_store
Canoe & kayak tour agency,canoe_and_kayak_tour_agency
Canoe and kayak club,canoe_and_kayak_club
Canoeing area,canoeing_area
Cantabrian restaurant,cantabrian_restaurant
Cantonese restaurant,cantonese_restaurant
Cape Verdean restaurant,cape_verdean_restaurant
Capoeira school,capoeira_school
Capsule hotel,capsule_hotel
Car accessories store,car_accessories_store
Car alarm supplier,car_alarm_supplier
Car battery store,car_battery_store
