name,external_id,category_id
Asturian restaurant,asturian_restaurant,3a3e1846-fc48-4c6c-80a2-e0a3c859ece8
Athletic club,athletic_club,3ca795f2-b58a-440c-9766-4ec85c1f560b
Athletic field,athletic_field,5a8bbe2e-d7d6-42b7-ab6e-41e0e24e6929
Athletic park,athletic_park,f4dd6565-e70c-4049-bf12-da0ed86544c7
Athletic track,athletic_track,76b6b85d-0f01-46df-937d-92a40673fbc9
Attorney referral service,attorney_referral_service,af71f86f-20f3-4b6c-beb2-6d28b73141a0
Auction house,auction_house,acb03f5e-5dc8-49b1-8834-1db0cff3616c
Audi dealer,audi_dealer,9c11c3d5-e102-4c54-b44f-c96c63ad2232
Audio visual consultant,audio_visual_consultant,2dfe2008-eba7-4550-92dd-c5f695a0abc6
Audio visual equipment repair service,audio_visual_equipment_repair_service,a9213350-8aed-481d-88a1-41180fa8fb67
Audio visual equipment supplier,audio_visual_equipment_supplier,e583b97b-5786-4127-98a9-8d0f402fc1d3
Audiologist,audiologist,29b59f06-41c4-4aab-a9d7-4f75b5d3bef6
Audiovisual equipment rental service,audio_visual_equipment_rental_service,74f2c00c-6807-468e-aeea-84abb3c71398
Auditor,auditor,fea92969-5c93-4d1f-a0e4-5843dde2b37e
Auditorium,auditorium,d45bacaf-a926-4729-a671-5a0897f83fe8
Australian goods store,australian_goods_store,e8ded926-646a-47a8-aa5f-6bb96f576fca
Australian restaurant,australian_restaurant,7939c4c6-6096-4330-a113-b2d73d707ee2
Austrian restaurant,austrian_restaurant,1d26e53e-8e2c-4acd-b833-6748bdf24514
Authentic Japanese restaurant,japanese_authentic_restaurant,3df0f9d9-cb8a-4a2c-88a8-cc7088f4f401
Auto accessories wholesaler,auto_accessories_wholesaler,643e70f6-9b40-410e-9eb5-232db51a1aae
Auto air conditioning service,auto_air_conditioning_service,0661dfd6-66cc-4de6-a7a2-a25b0027cfd6
Auto auction,auto_auction,a59537aa-5232-41ed-83ff-635fef0e17b0
Auto body parts supplier,auto_body_parts_supplier,80ec251a-2579-4aa8-80fb-18f0367427e6
Auto body shop,auto_body_shop,b03d1087-6dcc-4fa3-868c-7383d910e4e1
Auto bodywork mechanic,auto_bodywork_mechanic,87505544-beb7-40af-88e8-e4abe9742ee2
Auto broker,auto_broker,22c05c62-4679-45a6-9380-194e4a490b5e
Auto chemistry shop,auto_chemistry_shop,47017c74-b3a8-46c1-a253-d461cdd868fd
Auto dent removal service,auto_dent_removal_service,b6015ea2-b5e2-493b-8fff-42a4aef14175
Auto electrical service,auto_electrical_service,b9e3d1fe-12fe-45f5-b632-ec8eee4fb338
Auto glass repair service,auto_glass_repair_service,febd15be-a01a-453a-87c7-ca252e3c4add
Auto glass shop,auto_glass_shop,3b3e34da-53d7-46e0-a8ed-dde07ced7d67
Auto insurance agency,auto_insurance_agency,0bb7e193-f268-4d39-80c5-c1b71f2202df
Auto machine shop,auto_machine_shop,3051d023-52d7-460d-a391-8d7e41ca3f31
Auto market,auto_market,c4fc5e36-5980-43fa-b8ab-d8f0924453f2
Auto painting,auto_painting,1211e674-f57c-48d1-aa28-b6dbd5e99af7
Auto parts manufacturer,auto_parts_manufacturer,8919741a-24b8-44c8-906b-6b46a57021c0
Auto parts market,auto_parts_market,37dfb538-4bbf-4bd1-b2d3-9a2bd249b90d
Auto parts store,auto_parts_store,4616d599-4bcc-4e9b-8534-83b863502d37
